experience_level,employment_type,position,salary_in_usd,remote_ratio,company_size,pais_empleado,pais_empleador
EX,FT,Software Engineer,99866,0,M,Asia,Asia
EX,FT,Software Engineer,39946,0,M,Asia,Asia
SE,FT,Data Engineer,149640,0,M,Oceania,Oceania
SE,FT,Data Engineer,139436,0,M,Oceania,Oceania
SE,FT,Data Engineer,197400,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Engineer,144200,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Engineer,181000,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Engineer,144200,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,254350,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,151200,0,M,NorthAmerica,NorthAmerica
EN,FT,Software Engineer,120120,0,M,NorthAmerica,NorthAmerica
EN,FT,Software Engineer,92820,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,208000,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,147000,0,M,NorthAmerica,NorthAmerica
EN,FT,Engineer,67496,0,M,NorthAmerica,NorthAmerica
EN,FT,Engineer,31096,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,185900,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,128200,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,180000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,165000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,150000,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,135000,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,55578,0,M,Europe,Europe
SE,FT,Software Engineer,48000,0,M,Europe,Europe
SE,FT,Software Engineer,200200,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,176361,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,240240,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,214032,0,M,NorthAmerica,NorthAmerica
EX,FT,Software Engineer,193490,0,M,NorthAmerica,NorthAmerica
EX,FT,Software Engineer,149515,0,M,NorthAmerica,NorthAmerica
EX,FT,Software Engineer,180000,0,M,NorthAmerica,NorthAmerica
EX,FT,Software Engineer,144000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,199750,100,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,115500,100,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,136871,0,M,Asia,Asia
MI,FT,Software Engineer,82338,0,M,Asia,Asia
SE,FT,Engineer,139400,0,M,NorthAmerica,NorthAmerica
SE,FT,Engineer,118600,0,M,NorthAmerica,NorthAmerica
EN,FT,Software Engineer,115000,0,M,NorthAmerica,NorthAmerica
EN,FT,Software Engineer,80000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,165000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,115000,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Analyst,130000,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Analyst,115000,0,M,NorthAmerica,NorthAmerica
EN,FT,Data Analyst,80000,0,M,NorthAmerica,NorthAmerica
EN,FT,Data Analyst,80000,0,M,NorthAmerica,NorthAmerica
SE,FT,Engineer,252500,0,M,NorthAmerica,NorthAmerica
SE,FT,Engineer,135900,0,M,NorthAmerica,NorthAmerica
EN,FT,Data Analyst,80000,0,M,NorthAmerica,NorthAmerica
EN,FT,Data Analyst,80000,0,M,NorthAmerica,NorthAmerica
EN,FT,Engineer,116400,0,M,NorthAmerica,NorthAmerica
EN,FT,Engineer,77600,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,160000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,140000,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,124941,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,85081,0,M,NorthAmerica,NorthAmerica
MI,FT,Data Scientist,96863,0,M,Oceania,Oceania
MI,FT,Data Scientist,86511,0,M,Oceania,Oceania
MI,FT,Data Scientist,155700,100,M,NorthAmerica,NorthAmerica
MI,FT,Data Scientist,103800,100,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,170925,100,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,95700,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,75000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,60000,0,M,NorthAmerica,NorthAmerica
EN,FT,Software Engineer,100000,0,M,NorthAmerica,NorthAmerica
EN,FT,Software Engineer,75000,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,204000,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,136000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,120000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,110000,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Engineer,187000,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Engineer,145000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,154700,100,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,86000,100,M,NorthAmerica,NorthAmerica
MI,FT,Data Engineer,130000,0,M,NorthAmerica,NorthAmerica
MI,FT,Data Engineer,87500,0,M,NorthAmerica,NorthAmerica
MI,FT,Data Engineer,250377,0,M,NorthAmerica,NorthAmerica
MI,FT,Data Engineer,139874,0,M,NorthAmerica,NorthAmerica
EX,FT,Engineer,139240,0,M,Europe,Europe
EX,FT,Engineer,120253,0,M,Europe,Europe
SE,FT,Data Analyst,135000,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Analyst,90000,0,M,NorthAmerica,NorthAmerica
EN,FT,Software Engineer,52000,0,M,NorthAmerica,NorthAmerica
EN,FT,Software Engineer,40000,0,M,NorthAmerica,NorthAmerica
EN,FT,Data Analyst,90000,100,M,NorthAmerica,NorthAmerica
EN,FT,Data Analyst,76500,100,M,NorthAmerica,NorthAmerica
MI,FT,Engineer,99000,0,M,NorthAmerica,NorthAmerica
MI,FT,Engineer,66000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,223000,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,124000,100,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,180000,100,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,110000,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,215000,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,135000,100,M,NorthAmerica,NorthAmerica
EX,FT,Software Engineer,180000,0,M,NorthAmerica,NorthAmerica
EX,FT,Software Engineer,170000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,225000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,165000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,78947,0,M,Africa,Africa
MI,FT,Software Engineer,72368,0,M,Africa,Africa
MI,FT,Software Engineer,250000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,175000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,154700,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,86000,100,M,NorthAmerica,NorthAmerica
EX,FT,Engineer,322000,0,M,NorthAmerica,NorthAmerica
EX,FT,Engineer,238000,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,203900,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,138900,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,149000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,93000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,460800,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,259200,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,114200,100,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,87700,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,157500,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,117200,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,135120,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,90080,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,210000,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,158000,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,173800,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,133700,100,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,212850,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,123500,0,M,NorthAmerica,NorthAmerica
SE,FT,Engineer,149400,0,M,NorthAmerica,NorthAmerica
SE,FT,Engineer,84000,0,M,NorthAmerica,NorthAmerica
EN,FT,Software Engineer,93500,100,M,NorthAmerica,NorthAmerica
EN,FT,Software Engineer,50400,100,M,NorthAmerica,NorthAmerica
SE,FT,Data Analyst,137263,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Analyst,66730,0,M,NorthAmerica,NorthAmerica
EN,FT,Data Analyst,107177,0,M,NorthAmerica,NorthAmerica
EN,FT,Data Analyst,77370,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,176279,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,117520,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Engineer,160680,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Engineer,107120,0,M,NorthAmerica,NorthAmerica
MI,FT,Data Engineer,98330,0,M,Oceania,Oceania
MI,FT,Data Engineer,91658,0,M,Oceania,Oceania
SE,FT,Software Engineer,298000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,198000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,188640,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,125760,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,169190,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,120850,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,90000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,75000,0,M,NorthAmerica,NorthAmerica
EX,FT,Software Engineer,282900,0,M,NorthAmerica,NorthAmerica
EX,FT,Software Engineer,169700,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,225100,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,135100,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,156500,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,91500,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,150000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,100000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,224900,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,176800,100,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,192500,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,140000,0,M,NorthAmerica,NorthAmerica
EN,FT,Software Engineer,146000,0,M,NorthAmerica,NorthAmerica
EN,FT,Software Engineer,106000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,209000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,152000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,198000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,144000,0,M,NorthAmerica,NorthAmerica
MI,FT,Data Engineer,152375,0,M,NorthAmerica,NorthAmerica
MI,FT,Data Engineer,55000,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Engineer,203000,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Engineer,101000,0,M,NorthAmerica,NorthAmerica
EX,FT,Software Engineer,329420,0,M,NorthAmerica,NorthAmerica
EX,FT,Software Engineer,154000,0,M,NorthAmerica,NorthAmerica
MI,FT,Data Analyst,102245,0,M,NorthAmerica,NorthAmerica
MI,FT,Data Analyst,80942,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,164050,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,21950,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,220850,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,146650,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,107000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,91000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,216000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,130000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,184000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,116000,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Engineer,48543,0,M,Europe,Europe
SE,FT,Data Engineer,48543,0,M,Europe,Europe
SE,FT,Data Engineer,175800,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Engineer,117200,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Engineer,178000,100,M,NorthAmerica,NorthAmerica
SE,FT,Data Engineer,111000,100,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,222300,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,119700,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,134500,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,72500,0,M,NorthAmerica,NorthAmerica
SE,FT,Engineer,136800,0,M,NorthAmerica,NorthAmerica
SE,FT,Engineer,91200,0,M,NorthAmerica,NorthAmerica
EX,FT,Engineer,190000,0,M,NorthAmerica,NorthAmerica
EX,FT,Engineer,170000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,287500,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,148000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,330000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,190000,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,303000,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,173100,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,169500,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,104000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,141500,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,69100,0,M,NorthAmerica,NorthAmerica
EN,FT,Software Engineer,235750,0,M,NorthAmerica,NorthAmerica
EN,FT,Software Engineer,120000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,235750,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,148000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,276000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,148000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,304750,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,160000,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,338270,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,289460,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,180000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,160000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,69473,0,M,Europe,Europe
SE,FT,Software Engineer,50526,0,M,Europe,Europe
MI,FT,Software Engineer,254350,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,151200,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,225000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,99000,0,M,NorthAmerica,NorthAmerica
EN,FT,Data Analyst,70000,0,M,NorthAmerica,NorthAmerica
EN,FT,Data Analyst,70000,0,M,NorthAmerica,NorthAmerica
MI,FT,Data Analyst,85000,100,M,NorthAmerica,NorthAmerica
MI,FT,Data Analyst,70000,100,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,185000,0,L,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,102700,0,L,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,260000,0,L,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,150400,0,L,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,47840,0,L,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,43680,0,L,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,224000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,129000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,350000,0,L,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,120000,0,L,NorthAmerica,NorthAmerica
MI,FT,Data Engineer,128544,0,M,NorthAmerica,NorthAmerica
MI,FT,Data Engineer,76960,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Engineer,175000,100,M,NorthAmerica,NorthAmerica
SE,FT,Data Engineer,125000,100,M,NorthAmerica,NorthAmerica
MI,FT,Data Engineer,131700,0,M,NorthAmerica,NorthAmerica
MI,FT,Data Engineer,73200,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,350000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,155000,0,M,NorthAmerica,NorthAmerica
MI,FT,Data Scientist,227000,0,M,NorthAmerica,NorthAmerica
MI,FT,Data Scientist,211536,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,321000,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,214000,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,285000,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,190000,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,276400,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,145600,0,M,NorthAmerica,NorthAmerica
MI,FT,Data Scientist,176000,0,M,NorthAmerica,NorthAmerica
MI,FT,Data Scientist,77600,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,174200,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,93800,0,M,NorthAmerica,NorthAmerica
SE,FT,Engineer,129100,100,M,NorthAmerica,NorthAmerica
SE,FT,Engineer,107800,100,M,NorthAmerica,NorthAmerica
MI,FT,Data Scientist,110000,0,M,NorthAmerica,NorthAmerica
MI,FT,Data Scientist,90000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,239000,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,171000,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,315000,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,225000,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,304000,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,217000,100,M,NorthAmerica,NorthAmerica
EN,FT,Software Engineer,75949,0,M,Europe,Europe
EN,FT,Software Engineer,71012,0,M,Europe,Europe
MI,FT,Software Engineer,233800,0,L,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,141400,0,L,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,261000,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,174000,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,250000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,140000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,115000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,92000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,182000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,130000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,163280,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,97760,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,300000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,210000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,105000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,80000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,85000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,67500,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,212800,0,L,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,125500,0,L,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,145537,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,119076,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,198000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,86900,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,195000,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,165000,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,78633,0,M,Asia,Asia
SE,FT,Software Engineer,65034,0,M,Asia,Asia
MI,FT,Software Engineer,48598,0,M,Asia,Asia
MI,FT,Software Engineer,40203,0,M,Asia,Asia
MI,FT,Software Engineer,97468,0,M,Europe,Europe
MI,FT,Software Engineer,84810,0,M,Europe,Europe
MI,FT,Software Engineer,122000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,92000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,170000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,142000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,140000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,100000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,204000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,163200,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,230000,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,170000,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,172635,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,123224,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Analyst,247228,100,M,NorthAmerica,NorthAmerica
SE,FT,Data Analyst,120082,100,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,145000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,85803,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,250000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,220000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,325000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,250000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,176000,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,120000,100,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,200000,100,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,180000,100,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,250000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,125000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,221800,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,120500,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,138000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,72000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,250000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,150000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,121428,100,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,109285,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,223000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,191000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,350000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,315000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,207000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,126000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,221800,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,120500,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Engineer,210000,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Engineer,170000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,230000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,175000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,550000,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,255000,100,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,250000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,180000,0,M,NorthAmerica,NorthAmerica
EX,FT,Software Engineer,306000,100,M,NorthAmerica,NorthAmerica
EX,FT,Software Engineer,207000,100,M,NorthAmerica,NorthAmerica
EX,FT,Software Engineer,322000,100,M,NorthAmerica,NorthAmerica
EX,FT,Software Engineer,205000,100,M,NorthAmerica,NorthAmerica
SE,FT,Data Engineer,202000,100,M,NorthAmerica,NorthAmerica
SE,FT,Data Engineer,133000,100,M,NorthAmerica,NorthAmerica
SE,FT,Engineer,217500,0,M,NorthAmerica,NorthAmerica
SE,FT,Engineer,98800,0,M,NorthAmerica,NorthAmerica
MI,FT,Engineer,101265,0,M,Europe,Europe
MI,FT,Engineer,94936,0,M,Europe,Europe
MI,FT,Software Engineer,120000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,85000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,75808,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,70864,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,325000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,200000,0,M,NorthAmerica,NorthAmerica
SE,FT,Engineer,245000,0,M,NorthAmerica,NorthAmerica
SE,FT,Engineer,157000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,210000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,168000,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,240000,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,184000,0,M,NorthAmerica,NorthAmerica
MI,FT,Data Scientist,275000,100,M,NorthAmerica,NorthAmerica
MI,FT,Data Scientist,140000,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,220500,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,196000,100,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,175000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,150000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,59493,0,M,Europe,Europe
MI,FT,Software Engineer,53164,0,M,Europe,Europe
EX,FT,Software Engineer,250000,0,M,NorthAmerica,NorthAmerica
EX,FT,Software Engineer,220000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,168480,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,95680,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,174000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,106000,0,M,NorthAmerica,NorthAmerica
EX,FT,Software Engineer,200000,0,M,NorthAmerica,NorthAmerica
EX,FT,Software Engineer,170000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,150000,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,135000,100,M,NorthAmerica,NorthAmerica
EX,FT,Software Engineer,250000,0,M,NorthAmerica,NorthAmerica
EX,FT,Software Engineer,125000,0,M,NorthAmerica,NorthAmerica
EN,CT,Software Engineer,52531,0,M,Latin America,Latin America
EN,CT,Software Engineer,26265,0,M,Latin America,Latin America
